schedule_segment_id,source_record_id,pharmacy_name,source_type,source_url,source_updated_at,day_type,hours_source_raw,hours_normalized,schedule_status,open_time,close_time,closes_next_day,break_note,institution_id,institution_match_status,effective_schedule_status,review_required
pharmacy-source:015:weekday,pharmacy-source:015,원주시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193249,auto_matched,source_values,False
pharmacy-source:015:saturday,pharmacy-source:015,원주시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,08:00~20:00,08:00~20:00,parsed,08:00,20:00,False,,wonju:13193249,auto_matched,source_values,False
pharmacy-source:015:sunday,pharmacy-source:015,원주시장약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,09:00~19:00,09:00~19:00,parsed,09:00,19:00,False,,wonju:13193249,auto_matched,source_values,False
pharmacy-source:016:weekday,pharmacy-source:016,나나약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,weekday,09:00~21:00,09:00~21:00,parsed,09:00,21:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:016:saturday,pharmacy-source:016,나나약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,saturday,09:00~18:00,09:00~18:00,parsed,09:00,18:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:016:sunday,pharmacy-source:016,나나약국,late_night,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,sunday,09:00~18:00,09:00~18:00,parsed,09:00,18:00,False,,wonju:13193085,auto_matched,source_values,False
pharmacy-source:017:weekday,pharmacy-source:017,구곡시장약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,08:30~22:00,08:30~22:00,parsed,08:30,22:00,False,,wonju:13193207,verified,source_specific_only,True
pharmacy-source:017:saturday,pharmacy-source:017,구곡시장약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,08:30~22:00,08:30~22:00,parsed,08:30,22:00,False,,wonju:13193207,verified,source_specific_only,True
pharmacy-source:017:sunday,pharmacy-source:017,구곡시장약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,12:00~22:00,12:00~22:00,parsed,12:00,22:00,False,,wonju:13193207,verified,source_specific_only,True
pharmacy-source:018:weekday,pharmacy-source:018,금빛누리약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,09:00~21:00,09:00~21:00,parsed,09:00,21:00,False,,wonju:13193121,auto_matched,source_values,False
pharmacy-source:018:saturday,pharmacy-source:018,금빛누리약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,09:00~17:00,09:00~17:00,parsed,09:00,17:00,False,,wonju:13193121,auto_matched,source_values,False
pharmacy-source:018:sunday,pharmacy-source:018,금빛누리약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,10:00~17:00,10:00~17:00,parsed,10:00,17:00,False,,wonju:13193121,auto_matched,source_values,False
pharmacy-source:019:weekday,pharmacy-source:019,삼육오약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,09:00~22:00,09:00~22:00,parsed,09:00,22:00,False,,wonju:13193180,auto_matched,source_values,False
pharmacy-source:019:saturday,pharmacy-source:019,삼육오약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,09:00~22:00,09:00~22:00,parsed,09:00,22:00,False,,wonju:13193180,auto_matched,source_values,False
pharmacy-source:019:sunday,pharmacy-source:019,삼육오약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,12:30~22:00,12:30~22:00,parsed,12:30,22:00,False,,wonju:13193180,auto_matched,source_values,False
pharmacy-source:020:weekday,pharmacy-source:020,원주대문약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,08:00~12:00,08:00~12:00,parsed,08:00,12:00,False,,wonju:13193248,verified,source_specific_only,True
pharmacy-source:020:saturday,pharmacy-source:020,원주대문약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,saturday,08:00~12:00,08:00~12:00,parsed,08:00,12:00,False,,wonju:13193248,verified,source_specific_only,True
pharmacy-source:020:sunday,pharmacy-source:020,원주대문약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,sunday,08:00~12:00,08:00~12:00,parsed,08:00,12:00,False,,wonju:13193248,verified,source_specific_only,True
pharmacy-source:021:weekday,pharmacy-source:021,만종대형약국,year_round,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,weekday,08:00~22:00,08:00~22:00,parsed,08:00,22:00,False,,wonju:13193112,auto_matched,source_values,False
